frame,x,y,w,h
009510.jpg,987,419,30,74
009511.jpg,975,422,39,78
009512.jpg,965,428,38,73
009513.jpg,961,428,33,74
009514.jpg,944,422,43,80
009515.jpg,939,427,33,76
009516.jpg,928,423,32,81
009517.jpg,922,426,33,73
009518.jpg,910,430,34,65
009519.jpg,900,421,37,71
009520.jpg,888,421,43,69
009521.jpg,881,421,41,76
009522.jpg,872,422,46,74
009523.jpg,869,423,46,78
009524.jpg,861,423,53,79
009525.jpg,866,426,42,80
009526.jpg,856,424,54,79
009527.jpg,852,428,51,72
009528.jpg,854,428,47,69
009529.jpg,844,422,50,77
009530.jpg,847,432,52,70
009531.jpg,840,425,46,75
009532.jpg,837,422,46,81
009533.jpg,836,421,53,86
009534.jpg,829,416,54,82
009535.jpg,840,420,41,81
009536.jpg,838,422,49,82
009537.jpg,842,419,43,87
009538.jpg,831,409,58,94
009539.jpg,839,418,49,89
009540.jpg,840,415,42,92
009541.jpg,840,421,53,85
009542.jpg,838,421,60,89
009543.jpg,840,421,46,82
009544.jpg,838,416,54,93
009545.jpg,835,417,55,85
009546.jpg,841,417,47,89
009547.jpg,839,413,45,96
009548.jpg,839,413,43,97
009549.jpg,835,408,45,97
009550.jpg,836,417,42,89
009551.jpg,835,413,48,92
009552.jpg,834,409,48,93
009553.jpg,838,412,45,94
009554.jpg,830,409,52,92
009555.jpg,832,409,47,96
009556.jpg,832,415,45,87
009557.jpg,830,413,43,89
009558.jpg,830,414,37,85
009559.jpg,830,412,36,89
009560.jpg,824,411,41,88
009561.jpg,823,419,45,86
009562.jpg,824,413,41,89
009563.jpg,822,416,45,87
009564.jpg,815,417,51,88
009565.jpg,813,414,44,93
009566.jpg,813,418,39,87
009567.jpg,805,410,40,93
009568.jpg,800,408,38,94
009569.jpg,798,413,39,87
009570.jpg,795,413,42,87
009571.jpg,794,420,37,81
009572.jpg,792,414,35,90
009573.jpg,789,418,36,85
009574.jpg,776,419,45,82
009575.jpg,782,421,37,91
009576.jpg,780,418,42,97
009577.jpg,779,417,35,87
009578.jpg,777,418,36,88
009579.jpg,776,417,32,87
009580.jpg,776,413,28,92
009581.jpg,772,413,37,94
009582.jpg,774,410,31,100
009583.jpg,772,415,38,94
009584.jpg,770,418,41,93
009585.jpg,774,418,43,102
009586.jpg,764,419,46,102
009587.jpg,775,429,49,102
009588.jpg,770,430,46,91
009589.jpg,778,432,44,92
009590.jpg,779,433,40,92
009591.jpg,786,434,37,91
009592.jpg,797,431,36,93
009593.jpg,795,429,42,92
009594.jpg,808,432,31,91
009595.jpg,810,429,32,95
009596.jpg,814,434,38,93
009597.jpg,813,426,35,103
009598.jpg,803,422,52,105
009599.jpg,818,432,43,89
009600.jpg,818,429,43,97
009601.jpg,819,435,46,96
009602.jpg,813,430,51,99
009603.jpg,819,436,44,94
009604.jpg,815,433,44,96
009605.jpg,822,444,40,87
009606.jpg,819,432,45,95
009607.jpg,821,437,45,87
009608.jpg,820,432,45,95
009609.jpg,830,432,34,94
009610.jpg,827,434,39,93
009620.jpg,839,428,44,90
009621.jpg,842,424,47,99
009622.jpg,849,422,40,103
009623.jpg,850,429,33,87
009624.jpg,854,420,32,96
009625.jpg,851,430,38,85
009626.jpg,855,432,39,89
009627.jpg,857,428,48,88
009628.jpg,849,425,50,96
009629.jpg,857,428,45,93
009630.jpg,864,428,47,91
009631.jpg,858,434,50,85
009632.jpg,856,429,52,84
009633.jpg,869,433,44,85
009634.jpg,870,432,40,84
009635.jpg,871,429,40,92
009636.jpg,875,434,48,91
009637.jpg,876,420,36,99
009638.jpg,874,427,43,93
009639.jpg,877,426,44,95
009640.jpg,884,426,39,102
009641.jpg,884,428,39,85
009642.jpg,881,423,41,87
009643.jpg,890,428,38,87
009644.jpg,892,429,33,86
009645.jpg,884,422,40,81
009646.jpg,893,422,40,85
009647.jpg,885,422,61,83
009648.jpg,882,420,52,82
009649.jpg,887,416,49,90
009650.jpg,887,426,53,81
009651.jpg,891,427,48,73
009652.jpg,888,423,43,84
009653.jpg,892,426,39,76
009654.jpg,892,421,39,83
009655.jpg,888,427,43,75
009656.jpg,883,426,43,79
009657.jpg,882,423,40,78
009658.jpg,880,423,45,81
009659.jpg,875,425,51,74
009660.jpg,876,429,45,72
009665.jpg,870,422,49,75
009666.jpg,870,427,46,70
009667.jpg,870,417,39,80
009668.jpg,872,420,41,79
009669.jpg,864,421,50,74
009670.jpg,860,421,55,69
009671.jpg,860,417,44,72
009672.jpg,858,417,44,69
009673.jpg,858,418,50,61
009674.jpg,854,416,43,67
009675.jpg,849,414,44,69
009676.jpg,847,415,43,71
009677.jpg,838,413,48,70
009678.jpg,839,416,43,71
009679.jpg,833,415,52,68
009680.jpg,830,416,42,64
009681.jpg,823,413,44,66
009682.jpg,819,408,41,73
009683.jpg,819,404,37,79
009684.jpg,811,404,45,67
009685.jpg,807,402,42,76
009686.jpg,793,398,61,76
009687.jpg,792,398,44,76
009688.jpg,791,401,43,70
009689.jpg,786,406,47,70
009690.jpg,779,400,48,75
009691.jpg,773,405,63,73
009692.jpg,774,405,54,79
009693.jpg,773,410,41,66
009694.jpg,771,409,50,77
009695.jpg,760,418,48,65
009696.jpg,761,415,55,62
009697.jpg,762,419,41,55
009698.jpg,755,404,43,73
009699.jpg,756,413,40,67
009700.jpg,765,414,29,66
009701.jpg,755,412,39,65
009702.jpg,749,408,48,72
009703.jpg,752,407,38,79
009704.jpg,752,412,42,73
009705.jpg,747,404,43,90
009706.jpg,750,420,39,67
009707.jpg,736,413,50,72
009708.jpg,744,406,51,80
009709.jpg,736,407,60,70
009710.jpg,751,408,50,68
